Id,Item no,Name,Disposal rate,Energy,Energy juel,Water,Protein,Protein with amino,Fat,Triacylglycerol,Carbohydrate,Ash,Na,K,Ca,Mg,P,Fe,Zn,Cu,Mn,I,Se,Cr,Mo,Retinol,Alpha carotene,Beta carotene,Beta cryptoxanthin,Beta carotene equivalents,Retinol equivalents,Vitamin d,Alpha tocopherol,Beta tocopherol,Gammma tocopherol,Delta tocopherol,Vitamin k,Vitamin b1,Vitamin b2,Niacin,Vitamin b6,Vitamin b12,Folic acid,Pantothenic acid,Biotin,Vitamin c,Saturated fatty acid,Monounsaturated fatty acid,Polyunsaturated fatty acid,Cholesterol,Soluble dietary fiber,Insoluble dietary fiber,Dietary fiber,Salt equivalents,Weight change rate,Created at,Updated at
1688,18016,"
      [食品番号]食品群名/食品名：[18016] 調理加工食品類/メンチカツ/フライ用、冷凍
    ",0.0,196.0,820.0,58.3,9.9,0.0,7.2,0.0,23.0,1.6,420.0,220.0,31.0,0.0,95.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.14,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,,2015-08-30 07:12:58 UTC,2015-08-30 07:12:58 UTC
1687,18015,"
      [食品番号]食品群名/食品名：[18015] 調理加工食品類/ミートボール/冷凍
    ",0.0,244.0,1021.0,57.6,11.7,0.0,16.4,15.0,12.5,1.8,520.0,190.0,18.0,0.0,110.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,36.0,0.0,0.6,0.0,1.2,0.2,0.0,0.1,0.17,2.3,0.0,0.0,0.0,0.0,0.0,1.0,4.25,7.01,3.09,43.0,0.0,0.0,0.0,1.3,,2015-08-30 07:12:57 UTC,2015-08-30 07:12:57 UTC
1686,18014,"
      [食品番号]食品群名/食品名：[18014] 調理加工食品類/ピラフ/冷凍
    ",0.0,161.0,674.0,62.1,3.8,0.0,2.8,0.0,30.1,1.2,370.0,75.0,12.0,0.0,59.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,120.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,,2015-08-30 07:12:56 UTC,2015-08-30 07:12:56 UTC
1685,18013,"
      [食品番号]食品群名/食品名：[18013] 調理加工食品類/ハンバーグ/冷凍
    ",0.0,223.0,933.0,59.2,13.3,10.8,13.4,0.0,12.3,1.8,490.0,240.0,38.0,0.0,120.0,1.8,0.0,0.0,0.0,3.0,21.0,3.0,6.0,13.0,0.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.23,1.9,0.0,0.0,0.0,0.0,3.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,,2015-08-30 07:12:55 UTC,2015-08-30 07:12:55 UTC
1684,18012,"
      [食品番号]食品群名/食品名：[18012] 調理加工食品類/しゅうまい/冷凍
    ",0.0,215.0,900.0,58.4,9.3,7.6,11.2,10.6,19.3,1.8,520.0,190.0,30.0,0.0,95.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.3,0.0,0.5,0.1,0.0,0.12,0.13,1.2,0.0,0.0,0.0,0.0,0.0,1.0,3.49,4.94,1.69,37.0,0.0,0.0,0.0,1.3,,2015-08-30 07:12:54 UTC,2015-08-30 07:12:54 UTC
1683,18011,"
      [食品番号]食品群名/食品名：[18011] 調理加工食品類/シチュー/ビーフ、レトルトパウチ
    ",0.0,118.0,494.0,78.1,6.0,0.0,7.2,0.0,7.4,1.3,290.0,210.0,15.0,0.0,54.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,730.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.08,1.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,,2015-08-30 07:12:54 UTC,2015-08-30 07:12:54 UTC
1682,18010,"
      [食品番号]食品群名/食品名：[18010] 調理加工食品類/(魚フライ類)/白身フライ/フライ用、冷凍
    ",0.0,148.0,619.0,64.5,11.6,0.0,2.7,0.0,19.3,1.9,340.0,240.0,47.0,0.0,100.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,,2015-08-30 07:12:53 UTC,2015-08-30 07:12:53 UTC
1681,18009,"
      [食品番号]食品群名/食品名：[18009] 調理加工食品類/(魚フライ類)/えびフライ/フライ用、冷凍
    ",0.0,139.0,582.0,66.3,10.2,0.0,1.9,0.0,20.3,1.3,340.0,95.0,42.0,0.0,90.0,1.5,0.0,0.0,0.0,8.0,27.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.7,0.0,0.0,0.0,0.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,,2015-08-30 07:12:53 UTC,2015-08-30 07:12:53 UTC
1680,18008,"
      [食品番号]食品群名/食品名：[18008] 調理加工食品類/(魚フライ類)/いかフライ/フライ用、冷凍
    ",0.0,146.0,611.0,64.5,10.6,0.0,2.0,0.0,21.4,1.5,300.0,180.0,16.0,0.0,110.0,0.4,0.0,0.0,0.0,4.0,25.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.9,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,2015-08-30 07:12:52 UTC,2015-08-30 07:12:52 UTC
1679,18007,"
      [食品番号]食品群名/食品名：[18007] 調理加工食品類/コロッケ/ポテトタイプ、フライ用、冷凍
    ",0.0,164.0,686.0,63.5,4.6,3.8,4.9,3.5,25.3,1.7,290.0,300.0,20.0,0.0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,27.0,71.0,0.0,0.2,0.0,0.3,0.1,0.0,0.09,0.06,1.1,0.0,0.0,0.0,0.0,0.0,7.0,0.94,1.22,1.19,2.0,0.0,0.0,0.0,0.7,,2015-08-30 07:12:51 UTC,2015-08-30 07:12:51 UTC
